Seccion ID,Seccion Nombre,Circuito ID,Circuito Nombre
1,CAPITAL,1,SECCIONAL PRIMERA
1,CAPITAL,2,SECCIONAL SEGUNDA
1,CAPITAL,3,SECCIONAL TERCERA
1,CAPITAL,4,NUEVA CORDOBA
1,CAPITAL,5,ALTAMIRA
1,CAPITAL,6,ALTO GRAL PAZ
1,CAPITAL,7,AEROPUERTO
1,CAPITAL,8,LA FLORESTA NORTE
1,CAPITAL,9,ESCOBAR
1,CAPITAL,10,BELLA VISTA
1,CAPITAL,11,AERONAUTICO
1,CAPITAL,12,AVELLANEDA
1,CAPITAL,13,LEANDRO N. ALEM
1,CAPITAL,14,ARGUELLO
1,CAPITAL,10A,CABILDO
1,CAPITAL,10B,CIUDADELA
1,CAPITAL,10C,COMERCIAL
1,CAPITAL,10D,CONGRESO
1,CAPITAL,10E,ESTACION FLORES
1,CAPITAL,10F,MATIENZO
1,CAPITAL,10G,OBSERVATORIO
1,CAPITAL,10H,PARQUE CAPITAL
1,CAPITAL,10I,PARQUE HORIZONTE
1,CAPITAL,10J,SANTA ISABEL
1,CAPITAL,10K,VICOR
1,CAPITAL,10L,VILLA EL LIBERTADOR
1,CAPITAL,10M,AMPLIACION CABILDO
1,CAPITAL,11A,ALTO ALBERDI
1,CAPITAL,11B,DON BOSCO
1,CAPITAL,11C,LAS PALMAS
1,CAPITAL,11D,LOS NARANJOS
1,CAPITAL,11E,LOS PLATANOS
1,CAPITAL,11F,LOS ROBLES
1,CAPITAL,11G,PARQUE REPUBLICA
1,CAPITAL,11H,QUEBRADA LAS ROSAS
1,CAPITAL,11I,RESIDENCIAL SAN ROQUE
1,CAPITAL,11J,SANTA ANA
1,CAPITAL,11K,VILLA GRAL URQUIZA
1,CAPITAL,11L,COUNTRYS DEL OESTE
1,CAPITAL,11M,VALLE ESCONDIDO
1,CAPITAL,12A,CARCANO
1,CAPITAL,12B,COLON
1,CAPITAL,12C,CORONEL OLMEDO
1,CAPITAL,12D,JOSE IGNACIO DIAZ
1,CAPITAL,12E,FERREYRA
1,CAPITAL,12F,JOSE HERNANDEZ
1,CAPITAL,12G,ITUZAINGO
1,CAPITAL,12H,LOS CERVECEROS
1,CAPITAL,12I,CIUDAD DE MIS SUEÑOS
1,CAPITAL,13A,AYACUCHO
1,CAPITAL,13B,EL GATEADO
1,CAPITAL,13C,GENERAL BUSTOS
1,CAPITAL,13D,JARDIN ARENALES
1,CAPITAL,13E,LA DOROTEA
1,CAPITAL,13F,NUEVA ITALIA
1,CAPITAL,13G,PARQUE LICEO
1,CAPITAL,13H,PATRICIOS
1,CAPITAL,13I,SAN JORGE
1,CAPITAL,13J,VILLA AZALAIS
1,CAPITAL,13K,VILLA ESQUIU
1,CAPITAL,13L,VILLA GRAN PARQUE
1,CAPITAL,13M,CAMINO A COLONIA TIROLESA
1,CAPITAL,13N,YOFRE
1,CAPITAL,13O,CHACHAPOYAS
1,CAPITAL,14A,ARGUELLO NORTE
1,CAPITAL,14B,ARGUELLO PRIMERO
1,CAPITAL,14C,ARGUELLO SEGUNDO
1,CAPITAL,14D,CERRO DE LAS ROSAS
1,CAPITAL,14E,CERRO NORTE
