mesa,habilitados,votaron,positivos,participacion,502 CAMBIEMOS,% 502 CAMBIEMOS
6287,346,521,224,150.58,135,56.49
1470,339,339,224,100,137,53.52
5647,346,346,224,100,102,45.74
5742,345,345,224,100,100,40.65
1086,344,326,224,94.77,105,46.26
6424,128,115,224,89.84,45,39.13
2128,339,303,224,89.38,214,73.29
8283,149,132,224,88.59,27,20.61
2138,338,294,224,86.98,212,74.91
301,318,275,224,86.48,167,62.08
2131,339,293,224,86.43,202,70.14
4329,331,286,224,86.4,188,68.86
2135,339,291,224,85.84,197,70.11
2134,339,290,224,85.55,190,68.84
303,318,272,224,85.53,146,55.94
299,318,271,224,85.22,167,63.02
8268,340,289,224,85,129,45.26
4341,338,287,224,84.91,141,52.81
2133,341,289,224,84.75,193,67.48
8018,281,238,224,84.7,92,40
8016,329,278,224,84.5,91,33.83
2129,339,286,224,84.37,189,67.99
8478,210,177,224,84.29,65,37.57
2126,339,285,224,84.07,201,73.09
300,318,267,224,83.96,179,67.8
4326,330,277,224,83.94,182,68.94
8012,330,277,224,83.94,104,39.1
4803,272,228,224,83.82,83,39.15
294,332,278,224,83.73,103,39.46
8015,330,276,224,83.64,103,37.73
5066,310,259,224,83.55,138,54.33
6589,314,262,224,83.44,69,27.27
3124,338,282,224,83.43,157,56.47
8480,241,201,224,83.4,50,25.13
5873,216,180,224,83.33,97,56.07
8020,339,282,224,83.19,85,31.6
6629,338,281,224,83.14,119,47.41
8014,330,274,224,83.03,80,31.01
2119,347,288,224,83,228,81.43
3365,317,263,224,82.97,101,40.89
6558,340,282,224,82.94,130,48.15
5070,310,257,224,82.9,105,43.93
6570,312,258,224,82.69,111,44.94
7925,345,285,224,82.61,120,43.48
2130,339,280,224,82.6,196,72.06
4340,339,280,224,82.6,131,50.19
5152,331,273,224,82.48,111,43.7
8010,330,272,224,82.42,109,41.6
7929,346,285,224,82.37,136,50.37
1517,339,279,224,82.3,128,47.58
2127,339,279,224,82.3,187,69
8127,226,186,224,82.3,64,35.56
4346,338,278,224,82.25,118,44.19
1516,337,277,224,82.2,140,51.66
4328,330,271,224,82.12,145,56.86
7928,346,284,224,82.08,123,45.05
2139,339,278,224,82.01,188,69.63
6598,339,278,224,82.01,131,50.19
7355,305,250,224,81.97,105,43.21
7291,326,267,224,81.9,79,30.62
2973,342,280,224,81.87,124,46.44
6354,182,149,224,81.87,52,35.86
5057,336,275,224,81.85,141,55.51
4327,330,270,224,81.82,160,62.02
