departamento,circuito,mesa,habilitados,votaron,positivos,participacion,502 CAMBIEMOS,570 SOMOS,231 PAIS,22 HUMANISTA,578 UNION POR CORDOBA,201 PRIMERO LA GENTE,217 ENCUENTRO VECINAL,567 IZQUIERDA AL FRENTE,503 FIT,69 GEN,543 CORDOBA CIUDADANA,% 502 CAMBIEMOS,% 570 SOMOS,% 231 PAIS,% 22 HUMANISTA,% 578 UNION POR CORDOBA,% 201 PRIMERO LA GENTE,% 217 ENCUENTRO VECINAL,% 567 IZQUIERDA AL FRENTE,% 503 FIT,% 69 GEN,% 543 CORDOBA CIUDADANA
1,SECCIONAL PRIMERA (1 en CAPITAL),1,343,222,224,64.72,117,0,0,0,24,5,9,9,19,3,29,54.42,0.0,0.0,0.0,11.16,2.33,4.19,4.19,8.84,1.4,13.49
1,SECCIONAL PRIMERA (1 en CAPITAL),2,343,222,224,64.72,128,1,4,6,22,2,17,3,12,4,17,59.26,0.46,1.85,2.78,10.19,0.93,7.87,1.39,5.56,1.85,7.87
1,SECCIONAL PRIMERA (1 en CAPITAL),3,343,213,224,62.1,111,0,0,3,14,7,16,6,16,1,30,54.41,0.0,0.0,1.47,6.86,3.43,7.84,2.94,7.84,0.49,14.71
1,SECCIONAL PRIMERA (1 en CAPITAL),4,343,222,224,64.72,123,0,0,4,27,8,10,5,17,2,20,56.94,0.0,0.0,1.85,12.5,3.7,4.63,2.31,7.87,0.93,9.26
1,SECCIONAL PRIMERA (1 en CAPITAL),5,342,225,224,65.79,130,2,2,2,16,5,11,11,10,5,24,59.63,0.92,0.92,0.92,7.34,2.29,5.05,5.05,4.59,2.29,11.01
1,SECCIONAL PRIMERA (1 en CAPITAL),6,343,214,224,62.39,127,3,0,0,11,10,11,10,17,5,12,61.65,1.46,0.0,0.0,5.34,4.85,5.34,4.85,8.25,2.43,5.83
1,SECCIONAL PRIMERA (1 en CAPITAL),7,345,217,224,62.9,105,0,2,1,28,5,16,7,13,8,27,49.53,0.0,0.94,0.47,13.21,2.36,7.55,3.3,6.13,3.77,12.74
1,SECCIONAL PRIMERA (1 en CAPITAL),8,342,223,224,65.2,113,0,1,3,22,4,13,9,23,6,25,51.6,0.0,0.46,1.37,10.05,1.83,5.94,4.11,10.5,2.74,11.42
1,SECCIONAL PRIMERA (1 en CAPITAL),9,343,211,224,61.52,114,1,0,0,26,4,13,7,14,4,21,55.88,0.49,0.0,0.0,12.75,1.96,6.37,3.43,6.86,1.96,10.29
1,SECCIONAL PRIMERA (1 en CAPITAL),10,343,226,224,65.89,128,1,2,2,22,4,6,10,12,7,27,57.92,0.45,0.9,0.9,9.95,1.81,2.71,4.52,5.43,3.17,12.22
